0	7	3	5	1	10	1	13	2	4	7	0
0	9	1	5	2	4	2	10	1	4	9	0
0	6	1	2	1	7	2	13	1	6	10	0
0	5	1	6	1	10	2	9	1	7	12	0
0	6	2	6	2	4	1	9	2	8	9	0
0	9	2	6	1	9	2	9	2	7	8	0
0	9	1	2	2	9	1	9	1	5	7	0
0	10	2	5	1	8	2	9	1	5	9	0
0	6	1	2	2	7	2	12	1	6	10	0
0	7	2	2	2	5	2	8	1	8	8	0
0	11	2	4	2	8	1	7	2	7	10	0
0	5	1	3	2	10	2	13	1	5	7	0
0	7	3	2	2	9	1	10	1	6	11	0
0	7	2	2	1	7	1	9	1	6	12	0
0	9	3	3	1	10	1	12	1	6	9	0
0	10	2	4	1	5	2	7	1	8	7	0
0	11	2	5	2	7	1	9	1	4	9	0
0	10	1	3	2	5	2	8	1	8	8	0
0	10	3	3	2	10	1	11	1	5	12	0
0	7	2	3	1	6	2	13	1	6	8	0
0	6	2	5	2	8	1	13	1	4	11	0
0	9	3	4	1	9	2	10	1	7	10	0
0	9	2	2	1	10	1	11	1	4	6	0
0	5	1	2	2	10	1	13	1	8	7	0
0	6	1	4	2	8	1	13	1	8	7	0
0	6	2	4	1	6	1	9	2	4	7	0
0	9	3	5	1	9	1	11	2	6	8	0
0	5	2	2	2	6	2	7	1	4	12	0
0	10	1	2	1	6	2	11	2	7	10	0
0	11	2	6	1	4	1	13	2	4	6	0
0	8	2	3	1	4	2	9	2	5	11	0
0	5	2	4	2	8	2	7	2	7	9	0
0	5	2	3	1	5	2	9	1	4	12	0
0	5	3	3	2	7	1	7	2	6	9	0
0	7	1	5	1	7	1	11	1	6	8	0
0	11	3	2	2	10	2	10	2	8	9	0
0	8	3	6	2	7	1	8	2	8	11	0
0	9	3	3	2	10	1	10	2	6	12	0
0	7	1	3	1	5	1	11	2	4	8	0
0	11	2	4	2	7	2	7	2	7	8	0
0	8	3	5	1	9	2	9	2	5	11	0
0	9	2	2	2	9	1	11	2	6	9	0
0	6	3	4	1	10	1	9	2	5	7	0
0	11	3	6	2	10	1	12	2	7	9	0
0	9	1	5	2	4	1	9	1	7	12	0
0	11	1	2	2	9	2	12	1	5	11	0
0	8	1	3	2	10	1	13	2	8	9	0
0	9	3	4	2	4	1	11	1	4	6	0
0	8	3	3	1	4	1	8	1	4	11	0
